Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
ess password reset,18,3,ess password reset,18,3,English,fsqwkbez eudsantq,0
unable to install flash player,30,5,unable to install flash player,30,5,English,xzbhmfpg bhqxesym,0
ticket no employment status new non employee,44,7,ticket no employment status new non employee,44,7,English,eqzibjhw ymebpoih,0
erp sid account unlock and password reset,41,7,erp sid account unlock and password reset,41,7,English,ztlvkmyi xldyitwz,0
unable to resolve ticket no assign to self,42,8,the status button be dierppeare after a few second,50,9,English,shloyakw jztsxdln,0
instal engineering tool,23,3,need to install engineering tool on the pc,42,8,English,qcxivzag vyucbagx,0
call for ecwtrjnq jpecxuty,26,4,call for ecwtrjnq jpecxuty,26,4,English,olckhmvx pcqobjnd,0
ticket update inplant,21,3,ticket update inplant,21,3,English,olckhmvx pcqobjnd,0
tablet sound not work,21,4,tablet sound not work,21,4,English,eqxakzyi cwfrjitq,0
unable to login to system,25,5,unable to login to system,25,5,English,zcaeryfo tdovhslb,0
please reroute job on printer to printer issue need to be resolve today,71,13,receive from email hi the printer printer be not work and need a part replace can reroute the job in queue to printer printer wihuyjdo qpogfwkb have indicate that prqos need a new part and may not deliver for a few day so the inwarehouse tool will need to print on printer for now this need to be take care of today since the inwarehouse tool be print and be pick up by an outside vendor at pm in usa on a daily basis please contact dkmcfreg anwmfvlgenkataramdntyana if have question about the job in queue for today,516,98,English,yisohglr uvteflgb,5
unable to login to hr tool etime,32,7,unable to login to hr tool etime,32,7,English,wxdrynag hlktazfm,0
can not log into hr tool etime through single sign on portal,60,12,can not log into hr tool etime through single sign on portal,60,12,English,wpdxlbhz etvzjmhx,0
password change in password management tool but do not update for erp account,77,13,password change in password management tool but do not update for erp account,77,13,English,lduqxywt wcydjgvl,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,6
windows password change via password management tool,52,7,windows password change via password management tool,52,7,English,boyqfsca yoqrmnep,0
status do not change on telephony software,42,7,when close a call the agent keep on the on acd call status,58,13,English,aofnvyzt eqiyskhm,7
job mm zscr dly merktc fail in job scheduler at,47,10,receive from email job mm zscr dly merktc fail in job scheduler at,66,13,English,bpctwhsn kzqsbmtp,8
call for ecwtrjnq jpecxuty,26,4,call for ecwtrjnq jpecxuty,26,4,English,olckhmvx pcqobjnd,0
vip i need password management tool password manager password reset,67,10,i need password management tool password manager password reset,63,9,English,jwhmqnye xlpvdwre,0
reset scm software password,27,4,receive from email hello please reset scm software password cdbaoqts wqbsodni global product manager markhtyeting initiative email mailto email,143,19,English,cdbaoqts wqbsodni,0
account lock out while in office,32,6,account keep lock out possible reason companysecure or mobile device email setup have an incorrect password store window and network password do not match,154,24,English,kyzhcsrq fwyltvpd,0
skype meeting,13,2,receive from email good morning i have to reset password again and i ve lose option for set up a skype meeting again can please help i can t recall how be able to bring back the last time,187,39,English,dlougnqw jiuybxew,0
enquiry on impact reward,24,4,enquiry on impact reward how to get password reset,50,9,English,kpudhygb vnizrdeb,0
need dn for material plant plant pc thank,41,8,need dn for material plant plant pc,35,7,English,wckrxovs aunsgzmd,6
unlock logon password,21,3,receive from email hello please help to unlock company net log on password urgent,81,14,English,cnhkypxw lafncksi,0
job mm zscr dly merktc fail in job scheduler at,47,10,receive from email job mm zscr dly merktc fail in job scheduler at,66,13,English,bpctwhsn kzqsbmtp,8
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
password change require for user abc,36,6,password change require for user abc,36,6,English,qslrdpwk mdkivacj,0
issue with outlook,18,3,receive from email cid email good,33,6,English,lkfzibrx ljnabpgx,0
urgent create dlv,17,3,please help i try to create dlv for this mm s sto sto sto from plant to plant,77,18,English,qfnthlam lxvnwuja,6
apac company two switch be down since am et on,46,10,apac company two switch be down since am et on company ap chn apac company access sw company ap chn apac company access sw,122,24,English,utyeofsk rdyzpwhi,8
error login on to the sid system,32,7,error login on to the sid system verify user detail employee manager name user have try the password management tool pwd manager unlock the erp would caller confirm that be able to login issue resolve,200,35,English,quxtnlgd tqnjyzsm,0
delivery note can t do post good issue,38,8,d n plant plant to plant the issue display ekpo sobkz e ekpo umsok ekpo kzbws ekpo kzvbr e note not support check entry,119,24,English,lyzqrctk cfotnzrx,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
user lock user xyz,18,4,receive from email team please kindly release lock computer for user xyz user name fbmugzrl ahyiuqev,100,16,English,przndfbo pldqbhtn,0
dell laptop speaker be not work again and require urgent help,61,11,laptop speaker be not work again and require urgent help,56,10,English,jgautdmk fpurxzew,0
user need help to connect to the wireless connection at home,60,11,user need help to connect to the wireless connection at home have the user connect to the lan at home connect to the user system use teamviewer check the network setting help the user login to the home wireless disconnect the home lan user confirm that be able to login to the home wireless issue resolve,304,56,English,imoelsap gxdwkimv,0
inc ticket update,17,3,inc ticket update,17,3,English,pwkrlqbc zslqfmka,0
job hr payroll na u fail in job scheduler at,44,10,receive from email job hr payroll na u fail in job scheduler at,63,13,English,bpctwhsn kzqsbmtp,10
job hr payroll na u fail in job scheduler at,44,10,receive from email job hr payroll na u fail in job scheduler at,63,13,English,bpctwhsn kzqsbmtp,10
job hr payroll na u fail in job scheduler at,44,10,receive from email job hr payroll na u fail in job scheduler at,63,13,English,bpctwhsn kzqsbmtp,10
power outage uk al st and th ave site hard down since at pm et on,65,16,what type of outage network circuit x power please specify what type of outage top cert site yes yes no na when do start pm et on scheduled maintenance power yno yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit yes yes no na backup circuit active na yes no na site contact notify phone email yes no na remote dial in na yes no na equipment reset na yes no na verify site work on backup circuit na yes no na vendor ticket global telecom verizon telecom vendor telecom vendor global telecom notify gsc yes no na cert start yes no na additional diagnostic,657,123,English,mnlazfsr mtqrkhnx,8
power outage germany mx site be hard down since am et,53,11,what type of outage x network circuit power please specify what type of outage top cert site no yes no na when do start am et schedule maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit no yes no na backup circuit active no yes no na site contact notify phone email yes no na remote dial in yes no na equipment reset yes no na verify site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,626,117,English,jyoqwxhz clhxsoqy,8
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,6
erp sid account lock,20,4,erp sid account lock,20,4,English,ilvortuq zfgrlewm,0
user yhmwxsqj ugnthxky have issue log to outlook,48,8,user yhmwxsqj ugnthxky have issue log to outlook rgtry will be available tomorrow around be work out of company campus request to reach out to fix the issue,156,28,English,rdfjsawg zpmxgdcw,0
job bwhrattr fail in job scheduler at,37,7,receive from email job bwhrattr fail in job scheduler at,56,10,English,bpctwhsn kzqsbmtp,9
engineering tool drawing original in pdf format be not show,59,10,hello service i need to monitor the manufacturing drawing to approve manufacture the engineering tool stop show pdf original process erp production order interface vendor bas cr rfc destination production order interface vendor view not accessible file can not be stamp now bapireturnederrorexception stack trace cadagent erp conn jco tm jcoerpmanager handlereturnstructureorreturntableline jcoerpmanager java would jcoerpmanager java z wt cadagent erp conn jco tm jcoerpmanager handlereturnstructure jcoerpmanager java would jcoerpmanager java z wt cadagent erp conn jco tm jcoerpmanager generirtcfunction jcoerpmanager java would jcoerpmanager java z wt cadagent objmod plmfile checkoutview plmfile java would plmfile java z aju plm omf omforiginalsexport checkoutbapi omforiginalsexport java would omforiginalsexport java z rb plm omf omforiginalsexport downloaddocumentoriginals omforiginalsexport java would omforiginalsexport java z rb plm omf omforiginalsexport actionperformed omforiginalsexport java would omforiginalsexport java z rb cadagent gui obr obrfunctioneventqueue run obrfunctioneventqueue java would obrfunctioneventqueue java z bda api bapi document checkoutview be this a know problem when will be fix,1223,156,English,vlymsnej whlqxcst,11
job apo bop plant a fail in job scheduler at,44,10,receive from email job apo bop plant a fail in job scheduler at,63,13,English,bpctwhsn kzqsbmtp,6
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
job mm zscr wkly rollfgyuej fail in job scheduler at,52,10,receive from email job mm zscr wkly rollfgyuej fail in job scheduler at,71,13,English,bpctwhsn kzqsbmtp,8
unable to open ie,17,4,unable to open ie,17,4,English,tmopbken ibzougsd,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,5
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,5
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
amssm c label sys amssm ef on server be over space consume space available g,76,15,amssm c label sys amssm ef on server be over space consume space available g,76,15,English,jyoqwxhz clhxsoqy,12
unable to view payslip from hr tool e time,42,9,unable to view payslip from hr tool e time,42,9,English,vzrbocfl wxtpoyez,0
password expiry tomorrow,24,3,receive from email system say password expire tomorrow but when i want to change to a new password do not allow the new password be not accept … say server do not authorize kindly check and do the needful as the password be expire tomorrow,239,45,English,ecprjbod litmjwsy,0
re ess portal access issue,26,5,receive from email hello be an kiosk user please reset the password and confirm noscwdpm akiowsmp email from ihkolepb ozhnjyef send october to company ticketing tool com subject ess portal access issue hi below mention employee krlszbqo spimolgz with user would sv be not able to login to ess portal to access pay slip and relate content be a attendance tool user please reset user would and password and revert back,416,71,English,noscwdpm akiowsmp,0
ess portal access issue,23,4,receive from email hi below mention employee krlszbqo spimolgz with user would sv be not able to login to ess portal to access pay slip and relate content be a attendance tool user please reset user would and password and revert back,233,42,English,ihkolepb ozhnjyef,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,6
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
attendance tool system log on error,35,6,receive from email hello good morning i be experience issue with attendance tool log on every time i try to log on through single sign portal the following screen get display and stay there appreciate support to fix this issue cid email,236,42,English,isfadulo etkyjabn,0
excel freezing issue,20,3,excel freezing issue,20,3,English,jborwynt gidxbfrq,0
unable to sync a file in collaboration platform,47,8,unable to sync a file in collaboration platform,47,8,English,utdlmzyb dvfpraeg,0
unable to update password on the password management tool password manager,74,11,unable to update password on the password management tool password manager,74,11,English,eflahbxn ltdgrvkz,0
vitalyst transfer reporting tool access query,45,6,vitalyst transfer reporting tool access query,45,6,English,flhkxeqd gwidroap,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,13
user say will callback,22,4,user say will callback,22,4,English,fumkcsji sarmtlhy,0
unable update password on password management tool,50,7,unable update password on password management tool,50,7,English,xeakyiqt knhjogel,0
erp sid erp production password reset account be lock,53,9,erp sid erp production password reset account be lock,53,9,English,qmgspxkf mckfysdh,0
server issue,12,2,receive from email hello i have be try to gain access to pay roll information on the hub specifically the hr tool etime portal the other information on the portal come up without problem but the pay stub do not … continuously show the search ring,246,46,English,bgqpotek cuxakvml,0
ticket update on ticket no,26,5,ticket update on ticket no,26,5,English,fumkcsji sarmtlhy,0
unable to display expense report,32,5,unable to display expense report,32,5,English,ncksqfmz fzcjunai,0
password reset for upitdmhz owupktcg cruzjc,43,6,password reset for upitdmhz owupktcg cruzjc,43,6,English,uazkjifp dhtnevcq,0
unable to login in benefit tab,30,6,unable to login in benefit tab,30,6,English,bsmjflrp bvslpafi,0
hello i m have an issue with outlook view can call and let share screen,71,15,hello i m have an issue with outlook view can call and let share screen,71,15,English,ndaoxbvi szxlciue,0
unable to access mail,21,4,unable to access mail,21,4,English,cdfqvlzu jzmwuirn,0
unable to display expense report,32,5,unable to display expense report,32,5,English,rbozivdq gmlhrtvp,0
mobile device activation,24,3,from tvcdfqgp nrbcqwgj send friday october pm to nwfodmhc exurcwkm subject se ha bloqueado en forma temporal la sincronización de su dispositivo móvil mediante exchange activesync hasta que su administrador autorice el acceso hi i receive this message and local expert have tell to open a ticket,295,47,English,tvcdfqgp nrbcqwgj,0
internal keybankrd will not work after cs nor will an external usb keybankrd,76,13,internal keybankrd will not work after cs nor will an external usb keybankrd,76,13,English,hefiuwvo lcgadsef,3
blank call gso,14,3,blank call gso,14,3,English,rbozivdq gmlhrtvp,0
update on inplant,17,3,update on inplant,17,3,English,rbozivdq gmlhrtvp,0
password change thru password management tool password manager,62,8,receive from email hello sir i try to change password thru above i get below error pl help know what action to be take further to ensure all password be same everywhere since belo wmsg say all password be not change cid email,225,43,English,jvpkulxw ovuweygj,0
unlock personal number in ess,29,5,unlock personal number in ess,29,5,English,ltsqkane ycgwexdf,0
intermittent service on configair server in sid require probably a restart on production server,95,14,intermittent service on configair server in sid require probably a restart on production server the error occur in production and show internal serrver error error while try to invoke the method java util list iterator of null object load from local variable local list the issue can be reproduce in production e g a company customer e g and base material mm hss pm finish b company customer e g and start from scratch i can select a product platform e g hp hss pm rough but the screen freeze c log on language different en e g de company customer e g base material e g have this issue already several time before and need always a restart of the server thryeu be a good contact person for this issue as be already work on the root cause with external vendor configair,768,143,English,iavozegx jpcudyfi,14
unable to access vpn,20,4,unable to access vpn,20,4,English,vtnkwxhr tqxrglvh,0
unable to open outlook,22,4,unable to open outlook,22,4,English,kcagqjyv ojhulmes,0
install driver in printer hr in hostname,40,7,install driver in printer hr in hostname,40,7,English,bihypqsn kbaegpcd,0
unable to send email from outbox,32,6,unable to send email from outbox,32,6,English,dijxefrq nbgykjpr,0
access to business client drawing,33,5,name xvgftyr tryfuh language browser microsoft internet explorer email email customer number summary i can not seem to access the drawing from the netweaver application that be instal on computer doesn t take to the same page that colleague have,245,40,English,rbozivdq gmlhrtvp,0
take off email permission from personal phone,45,7,name vdhfy language browser microsoft internet explorer email email customer number summary i have scrap the old phone mail be configure in can take off the permission set to view mail on that phone,198,34,English,dcvphjru ybomrjst,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
unable to view payslip in ie,28,6,unable to view payslip in ie,28,6,English,bdgaxriq iltbozkw,0
prtgghjk password reset,23,3,please reset hr tool gv password reset,38,7,English,qcehailo wqynckxg,0
channel partner receive multiple email from erp urgent,54,8,hi channel partner with the email address email receive email regard the pos error in a matheywter of millisecond be very angry this need to be fix aerp attach be a file extract from erp document the email,205,38,English,qcfmxgid jvxanwre,15
usa company interface fastethernet gigabitethernet be down since pm et on,73,11,usa company interface fastethernet gigabitethernet be down since pm et on,73,11,English,jyoqwxhz clhxsoqy,8
password reset,14,2,receive from email good morning i have forget password for erp sid i have make attempt and fail could please reset user would be dgrtrkjs,137,25,English,qtrmxlgv dfruzvam,0
ess login issue,15,3,ess login issue verify user detail employee manager name check the user name in ad and reset the password advise the user to login and check caller confirm that be able to login issue resolve,191,35,English,ukzfqjet zcbhpweo,0
unable to start dell in device,30,6,qifzkoej etbmgjvo be unable to start dell in tablet device,58,10,English,qifzkoej etbmgjvo,0
erp print tool install,22,4,erp print tool install,22,4,English,aorthyme rnsuipbk,0
good morning i be have trouble get into vpn,43,9,name wvngzrca sfmrzdth language browser microsoft internet explorer email email customer number summary good morning i be have trouble get into vpn can assist,158,24,English,wvngzrca sfmrzdth,0
install acrobat standard,24,3,install acrobat standard,24,3,English,iefgkray zdyksvpw,0
password reset from ad,22,4,password reset from ad,22,4,English,rbozivdq gmlhrtvp,0
reset the password for wseacnvi azvixyqg on erp qa erp,54,10,please reset password to sid s block login jdhdw,48,9,English,wseacnvi azvixyqg,0
i use to have acce to this location on collaboration platform now i do not i need access,88,18,receive from email cid email bwfhtumx japznrvb regional controller email mailto email,85,12,English,bwfhtumx japznrvb,16
crm add in be get disabled from outlook,39,8,crm add in be get disabled from outlook,39,8,English,lrbjqcmh jbiwtzqr,0
outlook hang,12,2,outlook hang,12,2,English,rjsulvat uanigkqc,0
vpn not work,12,3,vpn not work,12,3,English,vtnkwxhr tqxrglvh,0
reset password for hckvpary emxbpkwy use password management tool password reset,80,11,employee be get an error user authentication fail when try to log into the ess portal be able to access erp and be able to access the hub try to reset and change password through password management tool password manager but get an error can not find account woodscf on target active directory user would be hdjdkt,314,57,English,hckvpary emxbpkwy,17
job bkbackup tool sql prod inc fail in job scheduler at,55,11,receive from email job bkbackup tool sql prod inc fail in job scheduler at,74,14,English,bpctwhsn kzqsbmtp,8
ess password reset,18,3,ess password reset,18,3,English,mtgujlcb kczyvpqr,0
wy printer,10,2,receive from email please note some continuous erp printing be happen in printer wy the print be not give locally please arrange to cancel the same immediately as lot of paper be get waste,188,34,English,nxhwyepl mudstbxo,0
update java viewer,18,3,receive from email dear all java viewer be not work any more i need access to view scan inwarehouse tool in erp i assume java update be require cid email good,158,31,English,uijxpazn gvtzlphs,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,5
hostname be currently experience high cpu utilization please investigate,72,9,be observe below alert in monitor tool hostname be currently experience high cpu utilization please investigate,111,16,English,jloygrwh acvztedi,14
access to bex,13,3,receive from email hello till last week i be access bex report use mms portal and there be no issue start this week the system be incredibly slow when i log in and finally do not allow to access any report can be the issue with any maintenance or access right or rather i should try to access bex use different way below the print screen from what i see after log in cid email i be also able to get to finance report see below however when i click profitability analysis as i be always do separate window be open however apart rom that the screen be blank cid email i appreciate support have a great day ☺ robhyertyj yfqoaepn xnezhsit managing director finance manager cee email mailto email tel mob company polska sp z o o ul krzywoustego poznań www company com company polska sp z o o z siedzibą w polandiu poznań ul krzywoustego spółka zarejestrowana w sądzie rejonowym poznań nowe miasto i wilda w polandiu wydział viii gospodarczy krs pod numerem kapitał zakładowy pln nip,977,179,English,yfqoaepn xnezhsit,0
windows account lockout,23,3,windows account lockout,23,3,English,kcipjago mlkptgvb,0
withdraw ticket no comment add,30,5,receive from email windy shi will recall message ticket no comment add this message be for the designate recipient to use which may contain privileged under applicable law confidentiality and non disclosure of content in addition to the designate recipient any other person be strictly prohibit dissemination distribution or copying of this message if receive this message by mistake please notify the sender and delete the message select the follow link to view the disclaimer in an alternate language,502,79,English,tycludks cjofwigv,0
account lock in erp sid,23,5,account lock in erp sid,23,5,English,uvwphrbl hfqdumtv,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
user need training to use engineering tool to view drawing,58,10,user need training to use engineering tool to view drawing connect to the user system use teamviewer help and educate the user on how login to business client and view drawing issue resolve,189,33,English,rkzqjbwc juizkwpl,0
skype not work,14,3,receive from email hello i be unable to access the skype the password be show error cid email,93,18,English,rhwvpmlq zuwhpqrc,0
account unlock request,22,3,account unlock request,22,3,English,lvxakohq tsfnhowj,0
urgent delivery note creation request,37,5,receive from email hello team could please generate delivery note for below order can not issue dn for so despite of enough stock for all of item at shipping plant … sale org delivery plant plant shipping point tys so mm pc mm pc mm pc cid email,245,48,English,fbvpcytz nokypgvx,18
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
error login on to the sid system,32,7,error login on to the sid system,32,7,English,woaiypxu dxslkbif,0
unable to take print out from wy,32,7,unable to take print out from wy,32,7,English,ewiakvmz tufwrhaj,19
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,12
unlock supply chain software account,36,5,receive from email hi there would please help unlock supply chain software account and reset supply chain software password,123,19,English,fgehvwxb ckxegsqv,0
unable to access password management tool would password manager ijeqpkrz nwtehsyx grauw,88,12,i try to change now password acc to attach e mail but this don´t work i be out of office for vacation time until now but password management tool link don´t work please help password expire in day s the requirement to change password every day enhance data security within company please login to a step by step guide on use the self service tool be available here please do not reply to this email if require assistance please submit a ticket to the global support center via any of these mode ticketing tool email email kind,526,97,English,ijeqpkrz nwtehsyx,2
job hostname fail fail in job scheduler at,42,8,receive from email job hostname fail fail in job scheduler at,61,11,English,bpctwhsn kzqsbmtp,5
unable to login to erp sid,26,6,unable to login to erp sid,26,6,English,bioanvcz zgfiahyo,0
crm license for user dfgry,26,5,from xdvwitpm zscxqdhoalaramdntyan send friday october be to email cc xyculgav cuqptoah subject fw crm license for dfgry hello crm be not instal in laptop please support on this,177,29,English,xdvwitpm zscxqdho,19
unable to connect to vpn,24,5,unable to connect to vpn,24,5,English,aljbtwsh lepkbgix,19
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,8
windows account lock,20,3,windows account lock,20,3,English,lvxakohq tsfnhowj,0
apply for mobile phone access to mail box,41,8,apply for mobile phone access to mail box,41,8,English,hygiajzb ajvmhbsr,0
datum not correctly pull for all the employee in the travel tool attendee interface,83,14,datum not correctly pull for all the employee in the travel tool attendee interface,83,14,English,rdfjsawg zpmxgdcw,20
qingdao the electrical and mechanical mail shipment notification setting,72,9,from send friday october be to nwfodmhc exurcwkm subject re qingdao xing electrical and mechanical mail shipment notification setting dear pls help to update customer shipment notification email address email b,210,31,English,yafxlpwi lhxvatkb,18
to recover folder that by mistake copy to x drive,49,10,i want recover folder,21,4,English,pbtauqyx civyxdkl,0
job bkwin hostname inc fail in job scheduler at,47,9,receive from email job bkwin hostname inc fail in job scheduler at,66,12,English,bpctwhsn kzqsbmtp,8
network outage india site hard down since at pm et on no backup circuit,71,14,what type of outage x network circuit power please specify what type of outage top cert site no yes no na when do start pm et on scheduled maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit no yes no na backup circuit active na yes no na site contact notify phone email na yes no na remote dial in na yes no na equipment reset na yes no na verify site work on backup circuit na yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc na yes no na cert start yes no na additional diagnostic,645,123,English,mnlazfsr mtqrkhnx,8
password reset request,22,3,password reset request,22,3,English,nyscufdq wjtcsahz,0
user be not able to see all text in mail on iphone,50,12,user be not able to see all text in mail on iphone,50,12,English,yaxrnmsz bultagqx,0
password reset,14,2,password reset,14,2,English,ptaerwvk ibvpucyn,0
unable to sync all mail in outlook on wifi,42,9,unable to sync all mail in outlook on wifi,42,9,English,vzrbocfl wxtpoyez,0
crm tab do not appear on outlook,32,7,crm tab do not appear on outlook,32,7,English,lrbjqcmh jbiwtzqr,0
